URI,Language,Scope note
http://collection.britishmuseum.org/id/thesauri/language/-javanese,(?) Javanese,
http://collection.britishmuseum.org/id/thesauri/language,-,
http://collection.britishmuseum.org/id/thesauri/language/200,200,
http://collection.britishmuseum.org/id/thesauri/language/5c,5c,
http://collection.britishmuseum.org/id/thesauri/language,?,
http://collection.britishmuseum.org/id/thesauri/language/-arabic,?Arabic,
http://collection.britishmuseum.org/id/thesauri/language/-english,?English,
http://collection.britishmuseum.org/id/thesauri/language/-gujarati,?Gujarati,
http://collection.britishmuseum.org/id/thesauri/language/-rajasthani,?Rajasthani,
http://collection.britishmuseum.org/id/thesauri/language/africaans,Africaans,
http://collection.britishmuseum.org/id/thesauri/language/african,African,
http://collection.britishmuseum.org/id/thesauri/language/afrikaans,Afrikaans,
http://collection.britishmuseum.org/id/thesauri/language/afrikaans-and-english,Afrikaans and English,
http://collection.britishmuseum.org/id/thesauri/language/afrikaans-and-english-and-latin,Afrikaans and English and Latin,
http://collection.britishmuseum.org/id/thesauri/language/afrikaans-and-latin,Afrikaans and Latin,
http://collection.britishmuseum.org/id/thesauri/language/afrikans,Afrikans,
http://collection.britishmuseum.org/id/thesauri/language/ahmaric,Ahmaric,
http://collection.britishmuseum.org/id/thesauri/language/ajkkadian,Ajkkadian,
http://collection.britishmuseum.org/id/thesauri/language/akkadian,Akkadian,
http://collection.britishmuseum.org/id/thesauri/language/akkadian,Akkadian (?),
http://collection.britishmuseum.org/id/thesauri/language/akkadian-and-sumerian,Akkadian and Sumerian,
http://collection.britishmuseum.org/id/thesauri/language/akkadian-or-semitic,Akkadian or Semitic,
http://collection.britishmuseum.org/id/thesauri/language/akkadian-aramaic,"Akkadian, Aramaic",
http://collection.britishmuseum.org/id/thesauri/language/akkadian-greek,Akkadian; Greek,
http://collection.britishmuseum.org/id/thesauri/language/akkadian,Akkadian?,
http://collection.britishmuseum.org/id/thesauri/language/akkdian,Akkdian,
http://collection.britishmuseum.org/id/thesauri/language/albanian,Albanian,
http://collection.britishmuseum.org/id/thesauri/language/amharic,Amharic,
http://collection.britishmuseum.org/id/thesauri/language/amharic/ge-ez,Amharic/Ge'ez,
http://collection.britishmuseum.org/id/thesauri/language/ammonite-or-phoenican,Ammonite or Phoenican,
http://collection.britishmuseum.org/id/thesauri/language/ancient-egyptian,Ancient Egyptian,
http://collection.britishmuseum.org/id/thesauri/language/ancient-greek,Ancient Greek,
http://collection.britishmuseum.org/id/thesauri/language/ancient-greek,Ancient Greek (?),
http://collection.britishmuseum.org/id/thesauri/language/anglo-saxon,Anglo-Saxon,
http://collection.britishmuseum.org/id/thesauri/language/arabic,Arabic,
http://collection.britishmuseum.org/id/thesauri/language/arabic,Arabic (?),
http://collection.britishmuseum.org/id/thesauri/language/arabic,Arabic [?],
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-chinese-and-english,Arabic and Chinese and English,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-english,Arabic and English,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-english-and-french,Arabic and English and French,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-english-and-hebrew,Arabic and English and Hebrew,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-english-and-hindi,Arabic and English and Hindi,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-english-and-italian,Arabic and English and Italian,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-english-date,Arabic and English date,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-french,Arabic and French,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-japanese,Arabic and Japanese,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-old-nubian,Arabic and Old Nubian,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-russian,Arabic and Russian,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-turkish,Arabic and Turkish,
http://collection.britishmuseum.org/id/thesauri/language/arabic-numerals,Arabic numerals,
http://collection.britishmuseum.org/id/thesauri/language/arabic,Arabic(?),
http://collection.britishmuseum.org/id/thesauri/language/arabic/english,Arabic/English,
http://collection.britishmuseum.org/id/thesauri/language/arabic/old-nubian,Arabic/Old Nubian,
http://collection.britishmuseum.org/id/thesauri/language/arabic-urdu,Arabic; Urdu,
http://collection.britishmuseum.org/id/thesauri/language/arabic,Arabic?,
http://collection.britishmuseum.org/id/thesauri/language/arabic-aramaic-syrian,Arabic? Aramaic? Syrian?,
http://collection.britishmuseum.org/id/thesauri/language/arabic-persian,Arabic? Persian?,
http://collection.britishmuseum.org/id/thesauri/language/arabjc,Arabjc,
http://collection.britishmuseum.org/id/thesauri/language/arabuc,Arabuc,
http://collection.britishmuseum.org/id/thesauri/language/aramaic,Aramaic,
http://collection.britishmuseum.org/id/thesauri/language/aramaic-and/or-phoenican,Aramaic and/or Phoenican,
http://collection.britishmuseum.org/id/thesauri/language/aramaic-or-phoenican,Aramaic or Phoenican,
http://collection.britishmuseum.org/id/thesauri/language/aramaic-or-phoenician,Aramaic or Phoenician,
http://collection.britishmuseum.org/id/thesauri/language/aramaic,Aramaic?,
http://collection.britishmuseum.org/id/thesauri/language/armenian,Armenian,
http://collection.britishmuseum.org/id/thesauri/language/assamese,Assamese,
http://collection.britishmuseum.org/id/thesauri/language/assyrian,Assyrian,
http://collection.britishmuseum.org/id/thesauri/language/assyrian,Assyrian?,
http://collection.britishmuseum.org/id/thesauri/language/attic-greek,Attic Greek,
http://collection.britishmuseum.org/id/thesauri/language/austrian,Austrian,
http://collection.britishmuseum.org/id/thesauri/language/babylonian,BABYLONIAN,
http://collection.britishmuseum.org/id/thesauri/language/babylonian,Babylonian,
http://collection.britishmuseum.org/id/thesauri/language/babylonian,Babylonian?,
http://collection.britishmuseum.org/id/thesauri/language/bactrain,Bactrain,
http://collection.britishmuseum.org/id/thesauri/language/bactrian,Bactrian,
http://collection.britishmuseum.org/id/thesauri/language/bcatrian,Bcatrian,
http://collection.britishmuseum.org/id/thesauri/language/bengali,Bengali,
http://collection.britishmuseum.org/id/thesauri/language/bengali-and-english-and-hindi,Bengali and English and Hindi,
http://collection.britishmuseum.org/id/thesauri/language/bengali-and-hindi,Bengali and Hindi,
http://collection.britishmuseum.org/id/thesauri/language/bilingual:-sumerian-akkadian,Bilingual: Sumerian Akkadian,
http://collection.britishmuseum.org/id/thesauri/language/blundered-bacrtiran,Blundered Bacrtiran,
http://collection.britishmuseum.org/id/thesauri/language/blundered-bactrian,Blundered Bactrian,
http://collection.britishmuseum.org/id/thesauri/language/bohemian,Bohemian,
http://collection.britishmuseum.org/id/thesauri/language/brahmi,Brahmi,
http://collection.britishmuseum.org/id/thesauri/language/brahmi-to-the-right-and-kharosthi-to-the-left,Brahmi (to the right) and kharosthi (to the left),
http://collection.britishmuseum.org/id/thesauri/language/braille,Braille,
http://collection.britishmuseum.org/id/thesauri/language/braj-bhasa-or-dialect,Braj Bhasa or dialect,
http://collection.britishmuseum.org/id/thesauri/language/braj-bhasa-or-local-dialect,Braj Bhasa or local dialect,
http://collection.britishmuseum.org/id/thesauri/language/braj-bhasa-or-local-dialect,Braj bhasa or local dialect,
http://collection.britishmuseum.org/id/thesauri/language/brazilian,Brazilian,
http://collection.britishmuseum.org/id/thesauri/language/br-hm,Br?hm?,
http://collection.britishmuseum.org/id/thesauri/language/bulgarian,Bulgarian,
http://collection.britishmuseum.org/id/thesauri/language/bundelkhandi,Bundelkhandi,
http://collection.britishmuseum.org/id/thesauri/language/burmese,Burmese,
http://collection.britishmuseum.org/id/thesauri/language/burmese-and-english,Burmese and English,
http://collection.britishmuseum.org/id/thesauri/language/burmese-and-pali,Burmese and Pali,
http://collection.britishmuseum.org/id/thesauri/language/burmese-numerals,Burmese numerals,
http://collection.britishmuseum.org/id/thesauri/language/burmese/pali,Burmese/Pali,
http://collection.britishmuseum.org/id/thesauri/language/burmese:-mayanmar,Burmese: Mayanmar,
http://collection.britishmuseum.org/id/thesauri/language/cambodian,Cambodian,
http://collection.britishmuseum.org/id/thesauri/language/cantonese,Cantonese,
http://collection.britishmuseum.org/id/thesauri/language/carian,Carian,
http://collection.britishmuseum.org/id/thesauri/language/carian,Carian(?),
http://collection.britishmuseum.org/id/thesauri/language/catalan,Catalan,
http://collection.britishmuseum.org/id/thesauri/language/celtic,Celtic,
http://collection.britishmuseum.org/id/thesauri/language/chiinese,Chiinese,
http://collection.britishmuseum.org/id/thesauri/language/chinese,Chinese,
http://collection.britishmuseum.org/id/thesauri/language/chinese-classical,Chinese (classical),
http://collection.britishmuseum.org/id/thesauri/language/chinese-pinyin,Chinese (pinyin),
http://collection.britishmuseum.org/id/thesauri/language/chinese-pinyin-anacronym,"Chinese (pinyin, anacronym)",
http://collection.britishmuseum.org/id/thesauri/language/chinese-probably,Chinese (probably),
http://collection.britishmuseum.org/id/thesauri/language/chinese-transliterated-and-italian,Chinese (transliterated) and Italian,
http://collection.britishmuseum.org/id/thesauri/language/chinese-/-portuguese,Chinese / Portuguese,
http://collection.britishmuseum.org/id/thesauri/language/chinese,Chinese ?,
http://collection.britishmuseum.org/id/thesauri/language/chinese-characters-hanja-and-korean,Chinese Characters (hanja) and Korean,
http://collection.britishmuseum.org/id/thesauri/language/chinese-and-magic-writing,"Chinese and ""magic writing""",
http://collection.britishmuseum.org/id/thesauri/language/chinese-and-braille,Chinese and Braille,
http://collection.britishmuseum.org/id/thesauri/language/chinese-and-english,Chinese and English,
http://collection.britishmuseum.org/id/thesauri/language/chinese-and-english-pinyin,Chinese and English (pinyin),
http://collection.britishmuseum.org/id/thesauri/language/chinese-and-english-and-french,Chinese and English and French,
http://collection.britishmuseum.org/id/thesauri/language/chinese-and-japanese,Chinese and Japanese,
http://collection.britishmuseum.org/id/thesauri/language/chinese-and-khotanese,Chinese and Khotanese,
http://collection.britishmuseum.org/id/thesauri/language/chinese-and-manchu,Chinese and Manchu,
http://collection.britishmuseum.org/id/thesauri/language/chinese-and-manchurian,Chinese and Manchurian,
http://collection.britishmuseum.org/id/thesauri/language/chinese-and-mongolian,Chinese and Mongolian,
http://collection.britishmuseum.org/id/thesauri/language/chinese-and-portuguese,Chinese and Portuguese,
http://collection.britishmuseum.org/id/thesauri/language/chinese-and-thai,Chinese and Thai,
http://collection.britishmuseum.org/id/thesauri/language/chinese-and-tibetan,Chinese and Tibetan,
http://collection.britishmuseum.org/id/thesauri/language/chinese-and-pinyin,Chinese and pinyin,
http://collection.britishmuseum.org/id/thesauri/language/chinese-or-japanese,Chinese or Japanese,
http://collection.britishmuseum.org/id/thesauri/language/chinese-seal-characters,Chinese seal characters,
http://collection.britishmuseum.org/id/thesauri/language/chinese-sanskrit,"Chinese, Sanskrit",
http://collection.britishmuseum.org/id/thesauri/language/chinese-chinese,Chinese-Chinese,
http://collection.britishmuseum.org/id/thesauri/language/chinese/japanese,Chinese/Japanese,
http://collection.britishmuseum.org/id/thesauri/language/chinese-english,Chinese?English,
http://collection.britishmuseum.org/id/thesauri/language/church-slavonic,Church Slavonic,
http://collection.britishmuseum.org/id/thesauri/language/church-slavonic,Church slavonic,
http://collection.britishmuseum.org/id/thesauri/language/classical-greek,Classical Greek,
http://collection.britishmuseum.org/id/thesauri/language/classical-greek-koine,Classical Greek (koine),
http://collection.britishmuseum.org/id/thesauri/language/coptic,Coptic,
http://collection.britishmuseum.org/id/thesauri/language/coptic-greek,Coptic & Greek,
http://collection.britishmuseum.org/id/thesauri/language/coptic,Coptic (?),
http://collection.britishmuseum.org/id/thesauri/language/coptic-and-greek,Coptic and Greek,
http://collection.britishmuseum.org/id/thesauri/language/coptic,Coptic(?),
http://collection.britishmuseum.org/id/thesauri/language/corrupt-sanskrit,Corrupt Sanskrit,
http://collection.britishmuseum.org/id/thesauri/language/corrupt-sanskrit,Corrupt sanskrit,
http://collection.britishmuseum.org/id/thesauri/language/croatian,Croatian,
http://collection.britishmuseum.org/id/thesauri/language/cuneiform,Cuneiform,
http://collection.britishmuseum.org/id/thesauri/language/cypriot,Cypriot,
http://collection.britishmuseum.org/id/thesauri/language/cypriot-greek,Cypriot Greek,
http://collection.britishmuseum.org/id/thesauri/language/cypro-minoan,Cypro-Minoan,
http://collection.britishmuseum.org/id/thesauri/language/cypro-minoan,Cypro-Minoan (?),
http://collection.britishmuseum.org/id/thesauri/language/cyrillic,Cyrillic,
http://collection.britishmuseum.org/id/thesauri/language/czech,Czech,
http://collection.britishmuseum.org/id/thesauri/language/czechoslovakian,Czechoslovakian,
http://collection.britishmuseum.org/id/thesauri/language/d,D,
http://collection.britishmuseum.org/id/thesauri/language/danish,Danish,
http://collection.britishmuseum.org/id/thesauri/language/dari,Dari,
http://collection.britishmuseum.org/id/thesauri/language/demotic,Demotic,
http://collection.britishmuseum.org/id/thesauri/language/devanagari,Devanagari,
http://collection.britishmuseum.org/id/thesauri/language/devanagri,Devanagri,
http://collection.britishmuseum.org/id/thesauri/language/devnagri,Devnagri,
http://collection.britishmuseum.org/id/thesauri/language/does-not-seem-to-be-latin,Does not seem to be Latin,
http://collection.britishmuseum.org/id/thesauri/language/doric,Doric,
http://collection.britishmuseum.org/id/thesauri/language/ductch,Ductch,
http://collection.britishmuseum.org/id/thesauri/language/dunish,Dunish,
http://collection.britishmuseum.org/id/thesauri/language/dutch,Dutch,
http://collection.britishmuseum.org/id/thesauri/language/e,E,
http://collection.britishmuseum.org/id/thesauri/language/english,ENGLISH,
http://collection.britishmuseum.org/id/thesauri/language/eastern-arabic,Eastern Arabic,
http://collection.britishmuseum.org/id/thesauri/language/eastern-arabic-and-english,Eastern Arabic and English,
http://collection.britishmuseum.org/id/thesauri/language/egyptian,Egyptian,
http://collection.britishmuseum.org/id/thesauri/language/egyptian-hieroglyphs,Egyptian Hieroglyphs,
http://collection.britishmuseum.org/id/thesauri/language/egyptian-greek,Egyptian; Greek,
http://collection.britishmuseum.org/id/thesauri/language/elamite,Elamite,
http://collection.britishmuseum.org/id/thesauri/language/elamite,Elamite?,
http://collection.britishmuseum.org/id/thesauri/language/emesal,Emesal,
http://collection.britishmuseum.org/id/thesauri/language/emglish,Emglish,
http://collection.britishmuseum.org/id/thesauri/language/endlish,Endlish,
http://collection.britishmuseum.org/id/thesauri/language/engligh,Engligh,
http://collection.britishmuseum.org/id/thesauri/language/english,English,
http://collection.britishmuseum.org/id/thesauri/language/english,English ?,
http://collection.britishmuseum.org/id/thesauri/language/english-and-arabic,English and Arabic,
http://collection.britishmuseum.org/id/thesauri/language/english-and-chamorro,English and Chamorro,
http://collection.britishmuseum.org/id/thesauri/language/english-and-chinese,English and Chinese,
http://collection.britishmuseum.org/id/thesauri/language/english-and-finnish,English and Finnish,
http://collection.britishmuseum.org/id/thesauri/language/english-and-french,English and French,
http://collection.britishmuseum.org/id/thesauri/language/english-and-french-and-german,English and French and German,
http://collection.britishmuseum.org/id/thesauri/language/english-and-french-and-german-russian,"English and French and German, Russian",
http://collection.britishmuseum.org/id/thesauri/language/english-and-french/german,English and French/German,
http://collection.britishmuseum.org/id/thesauri/language/english-and-french-arabic,English and French; Arabic,
http://collection.britishmuseum.org/id/thesauri/language/english-and-german,English and German,
http://collection.britishmuseum.org/id/thesauri/language/english-and-greek,English and Greek,
http://collection.britishmuseum.org/id/thesauri/language/english-and-greek-and-turkish,English and Greek and Turkish,
http://collection.britishmuseum.org/id/thesauri/language/english-and-hawaiian,English and Hawaiian,
http://collection.britishmuseum.org/id/thesauri/language/english-and-hebrew,English and Hebrew,
http://collection.britishmuseum.org/id/thesauri/language/english-and-hindi,English and Hindi,
http://collection.britishmuseum.org/id/thesauri/language/english-and-hungarian,English and Hungarian,
http://collection.britishmuseum.org/id/thesauri/language/english-and-irish,English and Irish,
http://collection.britishmuseum.org/id/thesauri/language/english-and-japanese,English and Japanese,
http://collection.britishmuseum.org/id/thesauri/language/english-and-kiswahili,English and Kiswahili,
http://collection.britishmuseum.org/id/thesauri/language/english-and-korean,English and Korean,
http://collection.britishmuseum.org/id/thesauri/language/english-and-latin,English and Latin,
http://collection.britishmuseum.org/id/thesauri/language/english-and-malayan,English and Malayan,
http://collection.britishmuseum.org/id/thesauri/language/english-and-ojibwa,English and Ojibwa,
http://collection.britishmuseum.org/id/thesauri/language/english-and-persian,English and Persian,
http://collection.britishmuseum.org/id/thesauri/language/english-and-polish,English and Polish,
http://collection.britishmuseum.org/id/thesauri/language/english-and-portuguese,English and Portuguese,
http://collection.britishmuseum.org/id/thesauri/language/english-and-roman-letters,English and Roman Letters,
http://collection.britishmuseum.org/id/thesauri/language/english-and-roman-letters,English and Roman letters,
http://collection.britishmuseum.org/id/thesauri/language/english-and-russian,English and Russian,
http://collection.britishmuseum.org/id/thesauri/language/english-and-samoan,English and Samoan,
http://collection.britishmuseum.org/id/thesauri/language/english-and-sanskrit,English and Sanskrit,
http://collection.britishmuseum.org/id/thesauri/language/english-and-sesotho,English and Sesotho,
http://collection.britishmuseum.org/id/thesauri/language/english-and-spanish,English and Spanish,
http://collection.britishmuseum.org/id/thesauri/language/english-and-swahili,English and Swahili,
http://collection.britishmuseum.org/id/thesauri/language/english-and-tamil,English and Tamil,
http://collection.britishmuseum.org/id/thesauri/language/english-and-telugu,English and Telugu,
http://collection.britishmuseum.org/id/thesauri/language/english-and-vietnamese,English and Vietnamese,
http://collection.britishmuseum.org/id/thesauri/language/english-and-welsh,English and Welsh,
http://collection.britishmuseum.org/id/thesauri/language/english-and-xhosa,English and Xhosa,
http://collection.britishmuseum.org/id/thesauri/language/english-and-yoruba,English and Yoruba (?),
http://collection.britishmuseum.org/id/thesauri/language/english-and-zulu,English and Zulu,
http://collection.britishmuseum.org/id/thesauri/language/english-and-pinyin,English and pinyin,
http://collection.britishmuseum.org/id/thesauri/language/english-and-syllabic,English and syllabic,
http://collection.britishmuseum.org/id/thesauri/language/english-numerals,English numerals,
http://collection.britishmuseum.org/id/thesauri/language/english-script,English script,
http://collection.britishmuseum.org/id/thesauri/language/english/hebrew,English/Hebrew,
http://collection.britishmuseum.org/id/thesauri/language/english/latin,English/Latin,
http://collection.britishmuseum.org/id/thesauri/language/english,English?,
http://collection.britishmuseum.org/id/thesauri/language/englsih,Englsih,
http://collection.britishmuseum.org/id/thesauri/language/enlish,Enlish,
http://collection.britishmuseum.org/id/thesauri/language/estonian,Estonian,
http://collection.britishmuseum.org/id/thesauri/language/estranghelo,Estranghelo,
http://collection.britishmuseum.org/id/thesauri/language/eteo-cypriot,Eteo-Cypriot,
http://collection.britishmuseum.org/id/thesauri/language/eteo-cypriot,Eteo-Cypriot (?),
http://collection.britishmuseum.org/id/thesauri/language/eteo-cypriot-or-greek,Eteo-Cypriot (?) or Greek (?),
http://collection.britishmuseum.org/id/thesauri/language/ethiopian,Ethiopian,
http://collection.britishmuseum.org/id/thesauri/language/ethiopic,Ethiopic,
http://collection.britishmuseum.org/id/thesauri/language/etruscan,Etruscan,
http://collection.britishmuseum.org/id/thesauri/language/etruscan,Etruscan?,
http://collection.britishmuseum.org/id/thesauri/language/european,European,
http://collection.britishmuseum.org/id/thesauri/language/european-syllabic,European & Syllabic,
http://collection.britishmuseum.org/id/thesauri/language/fort-red,FORT RED,
http://collection.britishmuseum.org/id/thesauri/language/french,FRENCH,
http://collection.britishmuseum.org/id/thesauri/language/farsi,Farsi,
http://collection.britishmuseum.org/id/thesauri/language/farsi-and-english,Farsi and English,
http://collection.britishmuseum.org/id/thesauri/language/finnish,Finnish,
http://collection.britishmuseum.org/id/thesauri/language/flemish,Flemish,
http://collection.britishmuseum.org/id/thesauri/language/flemish-and-french,Flemish and French,
http://collection.britishmuseum.org/id/thesauri/language/france,France,
http://collection.britishmuseum.org/id/thesauri/language/franche,Franche,
http://collection.britishmuseum.org/id/thesauri/language/french,French,
http://collection.britishmuseum.org/id/thesauri/language/french,French (?),
http://collection.britishmuseum.org/id/thesauri/language/french-langue-d-oc,French (langue d'oc?),
http://collection.britishmuseum.org/id/thesauri/language/french-and-ahmaric,French and Ahmaric,
http://collection.britishmuseum.org/id/thesauri/language/french-and-arabic,French and Arabic,
http://collection.britishmuseum.org/id/thesauri/language/french-and-english,French and English,
http://collection.britishmuseum.org/id/thesauri/language/french-and-flemish,French and Flemish,
http://collection.britishmuseum.org/id/thesauri/language/french-german,"French, German",
